sutta_uid,language,abstract,url
mn3,de,German translation of MN 3 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m003n.htm
mn4,en,English translation of MN 4 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.004.than.html
mn4,en,English translation of MN 4 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Bhayabherava_Sutta
mn4,en,English translation of MN 4 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/004-bhayabera-sutta-e1.html
mn4,fr,French translation of MN 4 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn004.html
mn4,de,German translation of MN 4 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m004z.html
mn4,de,German translation of MN 4 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m004n.htm
mn5,en,English translation of MN 5 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/005-anangana-sutta-e1.html
mn5,fr,French translation of MN 5 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn005.html
mn5,de,German translation of MN 5 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m005z.html
mn5,de,German translation of MN 5 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m005n.htm
mn6,en,English translation of MN 6 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/006-akankheyya-sutta-e1.html
mn6,fr,French translation of MN 6 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn006.html
mn6,de,German translation of MN 6 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m006z.html
mn6,de,German translation of MN 6 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m006n.htm
mn7,en,English translation of MN 7 from BPS. Translator Nyanaponika Thera. With introduction and notes.,http://www.bps.lk/olib/wh/wh061-u.html
mn7,en,English translation of MN 7 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.007.nypo.html
mn7,en,English translation of MN 7 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/007-vatthupama-sutta-e1.html
mn7,fr,French translation of MN 7 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn007.html
mn7,de,German translation of MN 7 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m007z.html
mn7,de,German translation of MN 7 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m007n.htm
mn8,en,English translation of MN 8 from BPS. Translator Nyanaponika Thera. With introduction and notes.,http://www.bps.lk/olib/wh/wh061-u.html
mn8,en,English translation of MN 8 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.008.nypo.html
mn8,en,English translation of MN 8 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/008-salleka-sutta-e1.html
mn8,fr,French translation of MN 8 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn008.html
mn8,de,German translation of MN 8 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m008z.html
mn8,de,German translation of MN 8 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m008n.htm
mn9,en,English translation of MN 9 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.009.ntbb.html
mn9,en,English translation of MN 9 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.009.than.html
mn9,en,English translation of MN 9 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/009-sammaditthi-sutta-e1.html
mn9,fr,French translation of MN 9 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn009.html
mn9,de,German translation of MN 9 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m009z.html
mn9,de,German translation of MN 9 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m009n.htm
mn10,en,English translation of MN 10 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.nysa.html
mn10,en,English translation of MN 10 from Access to Insight. Translator Soma Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.soma.html
mn10,en,English translation of MN 10 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.than.html
mn10,en,English translation of MN 10 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/010-satipatthanai-sutta-e1.html
mn10,fr,French translation of MN 10 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn010.html
mn10,de,German translation of MN 10 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m010z.html
mn10,de,German translation of MN 10 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m010n.htm
mn11,en,English translation of MN 11 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.011.ntbb.html
mn11,en,English translation of MN 11 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/011-culasihanada-sutta-e1.html
mn11,fr,French translation of MN 11 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn011.html
mn11,de,German translation of MN 11 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m011z.html
mn11,de,German translation of MN 11 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m011n.htm
mn12,en,English translation of MN 12 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.012.ntbb.html
mn12,en,English translation of MN 12 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/012-mahasihanada-sutta-e1.html
mn12,fr,French translation of MN 12 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn012.html
