sutta_uid,language,abstract,url
dn19,de,German translation of DN 19 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d19.htm
dn20,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn20/pi
dn20,en,Translation by Ānandajoti Bhikkhu,/dn20/en
dn20,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn20/vn
dn20,en,English translation of DN 20 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.20.0.than.html
dn20,en,English translation of DN 20 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha2/20-mahasamaya-e2.html
dn20,fr,French translation of DN 20 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn20.html
dn20,de,German translation of DN 20 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d20.htm
dn21,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn21/pi
dn21,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn21/vn
dn21,en,English translation of DN 21 from BPS. Translator Sister Vajira. With introduction and notes.,http://www.bps.lk/olib/wh/wh010-u.html
dn21,en,English translation of DN 21 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.21.2x.than.html
dn21,de,German translation of DN 21 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d21.htm
dn22,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn22/pi
dn22,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn22/vn
dn22,en,From Ancient Buddhist Texts. Critical dual-language (Pali-English) translation of DN 22 by Anandajoti Bhikkhu.,http://www.ancient-buddhist-texts.net/Texts-and-Translations/Satipatthana/Satipatthana.pdf
dn22,en,English translation of DN 22 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html
dn22,en,English translation of DN 22 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha2/22-mahasatipatthana-e2.html
dn22,fr,French translation of DN 22 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn22.html
dn22,de,German translation of DN 22 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d22.htm
dn23,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn23/pi
dn23,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn23/vn
dn23,de,German translation of DN 23 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d23.htm
dn24,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn24/pi
dn24,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn24/vn
dn24,de,German translation of DN 24 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d24.htm
dn25,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn25/pi
dn25,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn25/vn
dn25,de,German translation of DN 25 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d25.htm
dn26,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn26/pi
dn26,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn26/vn
dn26,en,English translation of DN 26 (excerpt) from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.26.0.than.html
dn26,de,German translation of DN 26 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d26.htm
dn27,pi,Pali text from the Mahāsaṅgīti Tipiṭaka Buddhavasse 2500,/dn27/pi
dn27,vn,Hòa thượng Thích Minh Châu dịch Việt,/dn27/vn
dn27,de,German translation of DN 27 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d27.htm
